body_num,m,vx,vy,vz,x,y,z
0,1988999999999999901909255192576.000000,0.024357,0.000000,0.000000,2104.450056,0.000000,0.000000
0,1988999999999999901909255192576.000000,0.048717,0.000162,0.000000,6313.571759,14.006311,0.000000
0,1988999999999999901909255192576.000000,0.073074,0.000487,0.000000,12627.127405,56.068824,0.000000
0,1988999999999999901909255192576.000000,0.097422,0.000974,0.000000,21044.412712,140.256385,0.000000
0,1988999999999999901909255192576.000000,0.121757,0.001625,0.000000,31564.251281,280.630975,0.000000
0,1988999999999999901909255192576.000000,0.146073,0.002437,0.000000,44184.990981,491.220863,0.000000
0,1988999999999999901909255192576.000000,0.170365,0.003412,0.000000,58904.502452,785.992881,0.000000
0,1988999999999999901909255192576.000000,0.194626,0.004547,0.000000,75720.179886,1178.824054,0.000000
0,1988999999999999901909255192576.000000,0.218851,0.005841,0.000000,94628.944229,1683.472815,0.000000
0,1988999999999999901909255192576.000000,0.243036,0.007293,0.000000,115627.248906,2313.550079,0.000000
0,1988999999999999901909255192576.000000,0.267174,0.008900,0.000000,138711.088164,3082.490463,0.000000
0,1988999999999999901909255192576.000000,0.291261,0.010660,0.000000,163876.008033,4003.523966,0.000000
0,1988999999999999901909255192576.000000,0.315291,0.012571,0.000000,191117.119931,5089.648432,0.000000
0,1988999999999999901909255192576.000000,0.339259,0.014629,0.000000,220429.116817,6353.603117,0.000000
0,1988999999999999901909255192576.000000,0.363162,0.016831,0.000000,251806.291820,7807.843683,0.000000
0,1988999999999999901909255192576.000000,0.386994,0.019174,0.000000,285242.559148,9464.518934,0.000000
0,1988999999999999901909255192576.000000,0.410751,0.021654,0.000000,320731.477112,11335.449560,0.000000
0,1988999999999999901909255192576.000000,0.434431,0.024267,0.000000,358266.272977,13432.109173,0.000000
0,1988999999999999901909255192576.000000,0.458028,0.027008,0.000000,397839.869390,15765.607833,0.000000
0,1988999999999999901909255192576.000000,0.481540,0.029874,0.000000,439444.912047,18346.678245,0.000000
0,1988999999999999901909255192576.000000,0.504964,0.032859,0.000000,483073.798252,21185.664759,0.000000
0,1988999999999999901909255192576.000000,0.528298,0.035959,0.000000,528718.706041,24292.515233,0.000000
0,1988999999999999901909255192576.000000,0.551538,0.039170,0.000000,576371.623477,27676.775796,0.000000
0,1988999999999999901909255192576.000000,0.574685,0.042486,0.000000,626024.377781,31347.588455,0.000000
0,1988999999999999901909255192576.000000,0.597735,0.045904,0.000000,677668.663947,35313.691483,0.000000
0,1988999999999999901909255192576.000000,0.620688,0.049418,0.000000,731296.072522,39583.422430,0.000000
0,1988999999999999901909255192576.000000,0.643542,0.053024,0.000000,786898.116259,44164.723598,0.000000
0,1988999999999999901909255192576.000000,0.666298,0.056718,0.000000,844466.255382,49065.149756,0.000000
0,1988999999999999901909255192576.000000,0.688954,0.060495,0.000000,903991.921253,54291.877850,0.000000
0,1988999999999999901909255192576.000000,0.711512,0.064350,0.000000,965466.538260,59851.718458,0.000000
0,1988999999999999901909255192576.000000,0.733970,0.068280,0.000000,1028881.543800,65751.128692,0.000000
0,1988999999999999901909255192576.000000,0.756329,0.072281,0.000000,1094228.406282,71996.226279,0.000000
0,1988999999999999901909255192576.000000,0.778591,0.076349,0.000000,1161498.641080,78592.804536,0.000000
0,1988999999999999901909255192576.000000,0.800754,0.080481,0.000000,1230683.824479,85546.347958,0.000000
0,1988999999999999901909255192576.000000,0.822822,0.084672,0.000000,1301775.605604,92862.048184,0.000000
0,1988999999999999901909255192576.000000,0.844793,0.088921,0.000000,1374765.716432,100544.820069,0.000000
0,1988999999999999901909255192576.000000,0.866670,0.093223,0.000000,1449645.979973,108599.317674,0.000000
0,1988999999999999901909255192576.000000,0.888453,0.097577,0.000000,1526408.316728,117029.949973,0.000000
0,1988999999999999901909255192576.000000,0.910144,0.101979,0.000000,1605044.749580,125840.896112,0.000000
0,1988999999999999901909255192576.000000,0.931744,0.106426,0.000000,1685547.407244,135036.120083,0.000000
0,1988999999999999901909255192576.000000,0.953254,0.110917,0.000000,1767908.526443,144619.384715,0.000000
0,1988999999999999901909255192576.000000,0.974675,0.115450,0.000000,1852120.452963,154594.264886,0.000000
0,1988999999999999901909255192576.000000,0.996009,0.120022,0.000000,1938175.641745,164964.159911,0.000000
0,1988999999999999901909255192576.000000,1.017257,0.124631,0.000000,2026066.656161,175732.305067,0.000000
0,1988999999999999901909255192576.000000,1.038420,0.129276,0.000000,2115786.166634,186901.782236,0.000000
0,1988999999999999901909255192576.000000,1.059500,0.133955,0.000000,2207326.948710,198475.529688,0.000000
0,1988999999999999901909255192576.000000,1.080497,0.138667,0.000000,2300681.880741,210456.351007,0.000000
0,1988999999999999901909255192576.000000,1.101413,0.143409,0.000000,2395843.941270,222846.923203,0.000000
0,1988999999999999901909255192576.000000,1.122248,0.148181,0.000000,2492806.206218,235649.804058,0.000000
0,1988999999999999901909255192576.000000,1.143005,0.152982,0.000000,2591561.845977,248867.438747,0.000000
0,1988999999999999901909255192576.000000,1.163684,0.157809,0.000000,2692104.122466,262502.165807,0.000000
0,1988999999999999901909255192576.000000,1.184285,0.162663,0.000000,2794426.386222,276556.222514,0.000000
0,1988999999999999901909255192576.000000,1.204811,0.167541,0.000000,2898522.073575,291031.749722,0.000000
0,1988999999999999901909255192576.000000,1.225262,0.172443,0.000000,3004384.703933,305930.796256,0.000000
0,1988999999999999901909255192576.000000,1.245639,0.177367,0.000000,3112007.877220,321255.322893,0.000000
0,1988999999999999901909255192576.000000,1.265942,0.182313,0.000000,3221385.271471,337007.206026,0.000000
