body_num,m,vx,vy,vz,x,y,z
0,1988999999999999853126264028898787328.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,396.198625,0.000000,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,792.394498,0.000000,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,1188.589689,0.000000,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,1584.784576,0.000001,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,1980.979292,0.000001,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,2377.173900,0.000001,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,2773.368432,0.000002,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,3169.562908,0.000002,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,3565.757342,0.000002,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,3961.951742,0.000002,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,4358.146115,0.000003,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,4754.340465,0.000003,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,5150.534796,0.000003,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,5546.729112,0.000004,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,5942.923413,0.000004,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,6339.117703,0.000004,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,6735.311982,0.000005,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,7131.506251,0.000005,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,7527.700512,0.000005,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,7923.894765,0.000006,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,8320.089012,0.000006,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,8716.283252,0.000006,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,9112.477487,0.000007,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,9508.671717,0.000007,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,9904.865942,0.000007,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,10301.060163,0.000007,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,10697.254379,0.000008,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,11093.448592,0.000008,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,11489.642802,0.000008,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,11885.837008,0.000009,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,12282.031211,0.000009,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,12678.225411,0.000009,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,13074.419609,0.000010,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,13470.613804,0.000010,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,13866.807997,0.000010,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,14263.002187,0.000011,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,14659.196376,0.000011,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,15055.390562,0.000011,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,15451.584747,0.000012,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,15847.778930,0.000012,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,16243.973111,0.000012,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,16640.167290,0.000013,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,17036.361468,0.000013,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,17432.555645,0.000013,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,17828.749820,0.000014,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,18224.943994,0.000014,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,18621.138166,0.000014,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,19017.332337,0.000015,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,19413.526508,0.000015,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,19809.720676,0.000015,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,20205.914844,0.000015,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,20602.109011,0.000016,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,20998.303177,0.000016,0.000000
0,1988999999999999853126264028898787328.000000,0.004586,0.000000,0.000000,21394.497342,0.000016,0.000000
